HudNum,city,CocState
CA-518,Fairfield,CA
CA-506,Marina,CA
OH-503,Columbus,OH
LA-509,BATON ROUGE,LA
LA-502,SHREVEPORT,LA
MA-511,,MA
VA-508,,VA
NY-503,ALBANY,NY
MO-501,,MO
IA-500,South Sioux City,IA
IL-516,DECATUR,IL
VA-521,Richmond,VA
IL-508,East St. Louis,IL
IL-501,,IL
TX-701,BRYAN,TX
TX-601,,TX
PA-512,York,PA
PA-500,Philadelphia,PA
WV-503,Charleston,WV
MD-508,HUGHESVILLE,MD
MO-503,SAINT CHARLES,MO
CO-505,Fort Collins,CO
PA-601,,PA
PA-600,PITTSBURGH,PA
PA-509,,PA
OK-500,Tulsa,OK
PA-501,,PA
CA-612,Pasadena,CA
CA-614,San Luis Obispo,CA
NE-502,Lincoln,NE
IL-500,MCHENRY,IL
CA-517,Napa,CA
NC-506,Wilmington,NC
IL-506,JOLIET,IL
CA-521,,CA
MA-502,LYNN,MA
MD-504,,MD
OH-506,Akron,OH
MD-509,FREDERICK,MD
CA-510,EMPIRE,CA
MN-509,Virginia,MN
OH-501,,OH
TN-509,KINGSPORT,TN
VA-500,,VA
CA-503,Sacramento,CA
NY-508,BUFFALO,NY
PA-502,Chester,PA
AL-501,,AL
SC-503,Camden,SC
VA-514,FREDERICKSBRG,VA
GA-504,AUGUSTA,GA
CA-513,Hanford,CA
IL-504,GRANITE CITY,IL
NH-502,,NH
LA-505,MONROE,LA
GA-507,SAVANNAH,GA
NY-505,SYRACUSE,NY
FL-604,KEY WEST,FL
MI-502,,MI
CA-514,FRESNO,CA
FL-509,VERO BEACH,FL
GA-502,,GA
MI-508,LANSING,MI
MI-510,,MI
PA-511,DOYLESTOWN,PA
MA-504,SPRINGFIELD,MA
MD-505,PIKESVILLE,MD
MD-512,HAGERSTOWN,MD
GU-500,,GU
MD-507,,MD
TX-600,Plano,TX
GA-506,MARIETTA,GA
OH-500,CINCINNATI,OH
TN-500,CHATTANOOGA,TN
CA-608,,CA
VA-502,SALEM,VA
NY-601,,NY
CA-511,Stockton,CA
GA-508,Decatur,GA
FL-505,,FL
TX-624,,TX
MD-506,Westminster,MD
NC-505,CHARLOTTE,NC
MD-500,CUMBERLAND,MD
WI-501,,WI
NY-511,Norwich,NY
IL-507,PEORIA,IL
FL-510,,FL
NC-516,BOONE,NC
MI-504,,MI
MI-516,Muskegon,MI
MI-519,GRAND HAVEN,MI
MN-504,,MN
CA-507,,CA
MI-523,,MI
NJ-506,Jersey City,NJ
OH-505,DAYTON,OH
MA-505,,MA
FL-512,St. Augustine,FL
IL-511,HINES,IL
AL-505,,AL
VA-600,Arlington,VA
PA-605,Erie,PA
FL-502,CLEARWATER,FL
UT-503,,UT
VA-507,,VA
WI-503,MADISON,WI
VA-501,,VA
OK-507,Stigler,OK
AR-501,ROGERS,AR
OK-501,TULSA,OK
OR-506,,OR
CA-523,,CA
IL-519,JACKSONVILLE,IL
MI-515,MONROE,MI
MN-503,Anoka,MN
MD-510,OAKLAND,MD
MI-505,FLINT,MI
MO-602,WEBB CITY,MO
VA-601,Vienna,VA
AL-502,FLORENCE,AL
NY-608,KINGSTON,NY
NY-510,ITHACA,NY
UT-504,PROVO,UT
AK-500,Anchorage,AK
TN-510,,TN
WV-501,HUNTINGTON,WV
NY-606,Haverstraw,NY
MI-506,,MI
NY-522,LOWVILLE,NY
TN-502,KNOXVILLE,TN
AL-503,HUNTSVILLE,AL
FL-513,Titusville,FL
OK-506,LAWTON,OK
FL-507,ORLANDO,FL
MO-600,Springfield,MO
MO-500,MARYLAND HTS,MO
NY-519,HUDSON,NY
ND-500,Grand Forks,ND
IL-520,METROPOLIS,IL
FL-500,,FL
OR-500,EUGENE,OR
IL-514,Glen Ellyn,IL
ID-500,,ID
IL-513,Springfield,IL
NY-604,,NY
VI-500,Christiansted,VI
NY-602,NEWBURGH,NY
NY-518,Utica,NY
AL-506,Tuscaloosa,AL
WA-503,Tacoma,WA
FL-605,,FL
IL-515,NEWTON,IL
FL-517,AVON PARK,FL
