city,Population (2013),Budget,Mayor,Took office,Term ends,Government type,City elections in 2021?,Mayoral election in 2021?,rank,usps,pop2021,pop2010,growth,density,aland_sqmi,Rank_y,2010 population,2012 population,Growth / Decline,Jan,April,July,Oct ,Precip “,precip days,snowfall
Baltimore,622104,"$1,648,000,000",Brandon M. Scott (D),2020,2024,Strong mayor,No,No,31,MD,575584,620915,-0.073,7111,80.947,26.0,620961.0,621342.0,381.0,32.3,53.2,76.5,55.4,41.94,115.0,21.5
Oklahoma City,610613,"$1,100,000,000",David Holt (R),2018,2022,Council-manager,Yes,No,24,OK,669347,582516,0.1491,1104,606.445,,,,,36.7,59.7,82.0,62.0,35.85,83.0,9.5
Louisville,609893,"$750,000,000",Greg Fischer (D),2010,2022,Strong mayor,No,No,29,KY,615924,596482,0.0326,2338,263.434,,,,,33.0,56.4,78.4,58.5,44.54,124.0,16.4
Portland,609456,"$3,600,000,000",Ted Wheeler (D),2017,2025,City commission,No,No,27,OR,662549,585429,0.1317,4966,133.421,28.0,583776.0,603106.0,19330.0,21.7,43.7,68.7,47.7,45.83,129.0,70.4
Portland,609456,"$3,600,000,000",Ted Wheeler (D),2017,2025,City commission,No,No,27,OR,662549,585429,0.1317,4966,133.421,28.0,583776.0,603106.0,19330.0,39.9,51.2,68.1,54.3,37.07,153.0,6.5
Las Vegas,603488,"$1,077,000,000",Carolyn Goodman (Nonpartisan),2011,2024,Council-manager,No,No,25,NV,667501,584576,0.1419,4708,141.767,31.0,583756.0,596424.0,12668.0,47.0,66.0,91.2,68.7,4.49,26.0,1.2
Milwaukee,599164,"$590,000,000",Tom Barrett (D),2004,2024,Strong mayor,Yes,No,30,WI,587721,594865,-0.012,6110,96.184,30.0,594833.0,598916.0,4083.0,20.7,45.2,72.0,51.4,34.81,125.0,47
Albuquerque,556495,"$893,000,000",Tim Keller (D),2017,2022,Strong mayor,Yes,Yes,32,NM,562281,546755,0.0284,3003,187.215,32.0,545852.0,555417.0,9565.0,35.7,55.6,78.5,57.3,9.47,60.0,11
Tucson,526116,"$1,265,000,000",Regina Romero (D),2019,2023,Council-manager,Yes,No,33,AZ,554503,527160,0.0519,2330,238.014,33.0,520116.0,524295.0,4179.0,51.7,66.0,86.5,70.5,12.17,53.0,1.2
Fresno,509924,"$977,000,000",Jerry Dyer (R),2021,2025,Hybrid,No,No,35,CA,537100,497769,0.079,4682,114.725,34.0,494665.0,505882.0,11217.0,,,,,,,
Sacramento,479686,"$819,000,000",Darrell Steinberg (D),2016,2024,Council-manager,No,No,36,CA,525398,467286,0.1244,5376,97.73,35.0,466488.0,475516.0,9028.0,46.3,58.9,75.4,64.4,17.93,58.0,trace
Long Beach,469428,"$3,100,000,000",Robert Garcia (D),2014,2022,Council-manager,No,No,43,CA,456154,462431,-0.0136,8998,50.696,36.0,462257.0,467892.0,5635.0,57.0,63.0,73.8,68.6,12.94,31.0,trace
Kansas City,467007,"$1,400,000,000",Quinton Lucas (D),2019,2023,Council-manager,No,No,38,MO,501957,460697,0.0896,1594,314.886,,,,,26.9,54.4,78.5,56.8,37.98,104.0,19.9
Kansas City,467007,"$1,400,000,000",Quinton Lucas (D),2019,2023,Council-manager,No,No,177,KS,152950,145878,0.0485,1225,124.815,,,,,26.9,54.4,78.5,56.8,37.98,104.0,19.9
Mesa,457587,"$1,300,000,000",John Giles (R),2014,2025,Council-manager,No,No,34,AZ,538146,440993,0.2203,3897,138.085,38.0,439041.0,452084.0,13043.0,,,,,,,
Virginia Beach,448479,"$1,800,000,000",Bob Dyer (R),2018,2025,Council-manager,Yes,No,44,VA,450224,438859,0.0259,1840,244.723,39.0,437994.0,447021.0,9027.0,,,,,,,
Atlanta,447841,"$533,000,000",Keisha Bottoms (D),2018,2022,Strong mayor,Yes,Yes,37,GA,524067,429410,0.2204,3861,135.737,40.0,420003.0,443775.0,23772.0,42.7,61.6,80.0,62.8,50.2,115.0,2.1
Colorado Springs,439886,"$249,000,000",John W. Suthers (R),2015,2023,Strong mayor,Yes,No,39,CO,489529,420685,0.1636,2510,195.0,41.0,416427.0,431834.0,15407.0,,,,,,,
Omaha,434353,"$800,000,000",Jean Stothert (R),2013,2025,Strong mayor,Yes,Yes,41,NE,479978,459659,0.0442,3405,140.983,43.0,408958.0,421570.0,12612.0,21.7,51.4,76.7,53.2,30.22,99.0,30.1
Raleigh,431746,"$754,000,000",Mary-Ann Baldwin (D),2019,2022,Council-manager,No,No,40,NC,483579,406353,0.19,3315,145.886,42.0,403892.0,423179.0,19287.0,39.7,59.1,78.8,60.0,43.05,113.0,7.5
Miami,417650,"$523,000,000",Francis Suarez (R),2017,2021,Hybrid,Yes,Yes,42,FL,478251,400779,0.1933,13286,35.996,44.0,399457.0,413892.0,14435.0,68.1,75.7,83.7,78.8,58.53,131.0,trace
Oakland,406253,"$2,000,000,000","Elizabeth ""Libby"" Schaaf (D)",2015,2023,Hybrid,No,No,45,CA,440981,391406,0.1267,7890,55.893,45.0,390724.0,400740.0,10016.0,,,,,,,
Minneapolis,400070,"$1,200,000,000",Jacob Frey (D),2018,2021,Strong mayor*,Yes,Yes,46,MN,439012,383067,0.146,8130,54.0,47.0,382578.0,392880.0,10302.0,,,,,,,
Tulsa,398121,"$597,000,000",G. T. Bynum (R),2016,2024,Strong mayor,No,No,48,OK,402742,392403,0.0263,2039,197.478,46.0,391906.0,393987.0,2081.0,36.4,60.8,83.5,62.6,42.42,91.0,10.2
