CoC Number,CoC Name,City,CocState
GA-504,Augusta-Richmond County CoC,AUGUSTA,GA
GA-505,Columbus-Muscogee CoC,Columbus,GA
GA-506,Marietta/Cobb County CoC,MARIETTA,GA
GA-507,Savannah/Chatham County CoC,SAVANNAH,GA
GA-508,DeKalb County CoC,Decatur,GA
GU-500,Guam CoC,,GU
HI-500,Hawaii Balance of State CoC,Hilo,HI
HI-501,Honolulu City and County CoC,Honolulu,HI
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",South Sioux City,IA
IA-501,Iowa Balance of State CoC,Des Moines,IA
IA-502,Des Moines/Polk County CoC,Des Moines,IA
ID-500,Boise/Ada County CoC,Boise,ID
ID-501,Idaho Balance of State CoC,CLARKSTON,ID
IL-500,McHenry County CoC,MCHENRY,IL
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",Rockford,IL
IL-502,"Waukegan, North Chicago/Lake County CoC",Waukegan,IL
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",CHAMPAIGN,IL
IL-504,Madison County CoC,GRANITE CITY,IL
IL-506,"Joliet, Bolingbrook/Will County CoC",JOLIET,IL
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",PEORIA,IL
IL-508,"East St. Louis, Belleville/St. Clair County CoC",East St. Louis,IL
IL-510,Chicago CoC,Chicago,IL
IL-511,Cook County CoC,HINES,IL
IL-512,Bloomington/Central Illinois CoC,Bloomington,IL
IL-513,Springfield/Sangamon County CoC,Springfield,IL
IL-514,DuPage County CoC,Glen Ellyn,IL
IL-515,South Central Illinois CoC,NEWTON,IL
IL-516,Decatur/Macon County CoC,DECATUR,IL
IL-517,"Aurora, Elgin/Kane County CoC",Geneva,IL
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",FREEPORT,IL
IL-519,West Central Illinois CoC,JACKSONVILLE,IL
IL-520,Southern Illinois CoC,METROPOLIS,IL
IN-502,Indiana Balance of State CoC,MUNCIE,IN
IN-503,Indianapolis CoC,Indianapolis,IN
KS-502,Wichita/Sedgwick County CoC,Wichita,KS
KS-503,Topeka/Shawnee County CoC,Topeka,KS
KS-505,"Overland Park, Shawnee/Johnson County CoC",Olathe,KS
KS-507,Kansas Balance of State CoC,LEAVENWORTH,KS
KY-500,Kentucky Balance of State CoC,Frankfort,KY
KY-501,Louisville-Jefferson County CoC,LOUISVILLE,KY
KY-502,Lexington-Fayette County CoC,LEXINGTON,KY
LA-500,Lafayette/Acadiana CoC,Lafayette,LA
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",SHREVEPORT,LA
LA-503,New Orleans/Jefferson Parish CoC,New Orleans,LA
LA-505,Monroe/Northeast Louisiana CoC,MONROE,LA
LA-506,Slidell/Southeast Louisiana CoC,PONCHATOULA,LA
LA-507,Alexandria/Central Louisiana CoC,Alexandria,LA
LA-509,Louisiana Balance of State CoC,BATON ROUGE,LA
MA-500,Boston CoC,Boston,MA
MA-502,Lynn CoC,LYNN,MA
MA-503,Cape Cod Islands CoC,Hyannis,MA
MA-504,Springfield/Hampden County CoC,SPRINGFIELD,MA
MA-505,New Bedford CoC,New Bedford,MA
MA-506,Worcester City & County CoC,SOUTHBRIDGE,MA
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",PITTSFIELD,MA
MA-509,Cambridge CoC,CAMBRIDGE,MA
MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",Peabody,MA
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Quincy,MA
MA-515,Fall River CoC,Fall River,MA
MA-516,Massachusetts Balance of State CoC,LOWELL,MA
MA-519,"Attleboro, Taunton/Bristol County CoC",Taunton,MA
MD-500,Cumberland/Allegany County CoC,CUMBERLAND,MD
MD-501,Baltimore CoC,BALTIMORE,MD
MD-502,Harford County CoC,ABERDEEN,MD
MD-503,Annapolis/Anne Arundel County CoC,Glen Burnie,MD
MD-504,Howard County CoC,Columbia,MD
MD-505,Baltimore County CoC,PIKESVILLE,MD
MD-506,Carroll County CoC,Westminster,MD
MD-507,Cecil County CoC,Elkton,MD
MD-508,"Charles, Calvert, St.Mary's Counties CoC",HUGHESVILLE,MD
MD-509,Frederick City & County CoC,FREDERICK,MD
MD-510,Garrett County CoC,OAKLAND,MD
MD-511,Mid-Shore Regional CoC,DENTON,MD
MD-512,Hagerstown/Washington County CoC,HAGERSTOWN,MD
MD-513,"Wicomico, Somerset, Worcester Counties CoC",Westover,MD
MD-600,Prince George's County CoC,Greenbelt,MD
