city,state,median household income (dollars)_2017,monthly cost_2017,owner occupied income_2017,owner occupied cost_2017,renter occupied income_2017,renter occupied cost_2017
abbeville,la,41082,514,51168,399,23326,643
abbeville,sc,22898,549,32998,572,14408,544
abbotsford,wi,42043,608,53068,667,28594,576
aberdeen,ms,29317,578,44957,622,18199,537
aberdeen,sd,47342,721,70839,840,30029,641
aberdeen,wa,43287,803,59719,878,28528,744
aberdeen--bel air south--bel air north,md,81761,1390,96031,1503,42310,1176
abernathy,tx,48922,648,58542,630,35700,679
abilene,ks,46176,774,58927,898,23892,638
abilene,tx,45943,812,61388,778,35184,837
abingdon,il,37228,550,45500,588,23247,502
ada,oh,37097,725,72567,861,30493,703
ada,ok,38807,656,60032,670,25862,648
adams,ny,50769,887,73080,1004,18672,765
adel,ga,27437,686,32260,614,22049,746
adel,ia,61369,966,69375,1042,24821,800
adjuntas,pr,11201,220,15701,171,8008,401
adrian,mi,45800,753,56495,778,26879,727
aguadilla--isabela--san sebastián,pr,15912,226,19894,184,10061,420
ahoskie,nc,30300,710,42083,786,21326,693
ajo,az,33034,442,34236,281,25724,790
akron,ny,51691,646,57721,701,43516,635
akron,oh,49110,818,64792,877,28635,768
alachua,fl,34905,988,59531,963,30442,1006
alamogordo,nm,45171,737,53240,712,33395,763
alamosa,co,33179,676,47143,748,20472,633
albany,ga,38015,752,60370,852,25685,714
albany,mn,56458,705,71295,848,26563,607
albany,or,56258,1012,73923,1181,32742,892
albany--schenectady,ny,62276,1069,88110,1267,36630,953
albemarle,nc,37124,727,55863,853,19806,632
albert lea,mn,42966,653,52986,668,28532,646
albertville,al,38201,645,51008,722,23741,612
albia,ia,41136,602,46450,563,30250,627
albion,mi,29323,619,37742,589,19123,643
albion,ny,33893,717,55158,863,20522,643
albion,pa,46250,581,54722,671,22333,526
albuquerque,nm,51323,956,66640,1049,30695,852
alderson,wv,31063,634,44598,674,18906,623
aledo,il,48219,674,60833,742,34293,627
aledo,tx,117500,1636,131719,1664,79605,1348
alexander city,al,25868,539,39962,483,18528,547
alexandria,la,37960,765,56620,712,26620,793
alexandria,mn,52922,827,71268,986,26896,699
alfred,ny,30104,743,60781,730,17619,750
algoma,wi,41667,645,53618,753,30991,572
algona,ia,53569,695,63886,738,27692,641
alice,tx,38199,629,53548,536,22369,728
allegan,mi,42944,736,44647,567,37326,789
allendale,sc,19150,503,23205,329,10946,609
allentown,pa--nj,60687,1119,76807,1248,34757,985
alliance,ne,54162,663,72181,752,28711,572
alliance,oh,36141,650,48253,629,25426,656
alma,ga,26382,548,36667,557,19200,545
alma--st. louis,mi,36244,690,46773,757,18673,635
almont,mi,53150,926,60025,1017,22115,736
alpena,mi,37431,593,46217,604,20253,582
alpine,tx,37075,626,49833,569,27500,635
altavista,va,38946,664,51210,691,28472,650
alton,il--mo,47970,786,61149,797,26794,776
altoona,pa,42344,689,57900,707,22412,674
altus,ok,41359,723,58542,754,31036,710
alva,ok,51719,581,61292,491,40324,660
amarillo,tx,51082,851,64529,898,33037,807
american falls,id,44213,650,52051,752,34955,602
americus,ga,28936,653,44191,627,20088,690
amery,wi,39549,798,48375,824,29764,749
ames,ia,43314,911,94568,1089,25717,873
amite city,la,41528,710,50057,592,19065,742
amory,ms,34640,602,45085,578,18897,607
amsterdam,ny,42766,804,59098,877,24063,750
anaconda-deer lodge county,mt,38425,529,44450,534,20053,529
anacortes,wa,63493,1170,78664,1266,38932,1099
anadarko,ok,30037,514,34138,462,26613,548
anamosa,ia,41270,701,54417,775,28926,665
anchorage,ak,79222,1427,104893,1661,55488,1245
anchorage northeast,ak,103797,1880,117547,1912,72653,1651
andalusia,al,33406,580,40647,501,29342,630
anderson,in,41221,722,52537,710,25970,733
anderson,sc,41963,722,52870,704,26169,737
andrews,sc,31133,541,36507,462,16923,607
andrews,tx,71163,822,77939,663,51144,1021
angels,ca,53250,993,65956,993,35379,992
angola,in,44900,776,60804,866,31735,746
anna,il,36875,536,48840,591,19625,455
anna,tx,77704,1366,76840,1317,78972,1512
annandale,mn,39375,876,53095,1030,20181,544
ann arbor,mi,60258,1122,90885,1301,37151,1000
anniston--oxford,al,40516,643,51533,640,25755,644
antigo,wi,36622,618,47985,632,21064,595
antioch,ca,72362,1687,90896,1787,47111,1550
apalachicola,fl,36950,686,42361,666,29750,694
appleton,wi,59482,895,75731,1062,34921,767
apple valley,oh,60250,957,64536,922,46929,1043
arab,al,44747,605,64053,678,18750,565
arbuckle,ca,64375,1039,75037,1197,59219,962
arcade,ny,36628,716,45234,783,26343,630
arcadia,la,22868,421,33194,339,14076,494
arcadia,wi,45625,790,59545,933,35846,777
arcadia--southeast arcadia,fl,30141,571,36736,438,22263,648
arcata--mckinleyville,ca,39681,987,61181,1177,25536,931
archbold,oh,56414,680,64595,769,30574,606
archer lodge--clayton,nc,90000,1433,92378,1441,60120,1309
arcola,il,50988,716,57989,799,42125,673
ardmore,ok,40862,694,55250,640,29989,731
arecibo,pr,17419,259,21829,219,9438,420
arizona city,az,42452,818,52088,778,27480,844
arkadelphia,ar,30577,561,53205,550,20808,566
arkansas city,ks,39022,635,50374,595,28763,664
arlington,tn,98018,1624,102153,1638,87083,1288
arroyo grande--grover beach,ca,71138,1366,88844,1510,50028,1278
artesia,nm,50661,721,65502,691,36011,733
arvin,ca,36795,886,46934,954,30180,838
ashburn,ga,33462,542,40676,560,16213,527
ashdown,ar,26250,516,36075,410,21920,547
asheboro,nc,35682,646,44391,703,23946,627
asheville,nc,47093,871,59419,862,32786,878
ashland,ne,58636,968,75000,1120,30893,766
ashland,oh,41190,694,53905,679,32364,705
ashland,pa,39000,584,49231,622,18056,504
ashland,wi,36685,677,51014,686,25347,671
ashland city,tn,39359,1000,56063,961,28265,1025
ashtabula,oh,33077,654,50649,640,19281,657
ashville,oh,64558,912,75280,1031,45278,786
aspen,co,70357,1423,90667,1426,52750,1411
astoria,or,44563,925,62582,1023,34037,866
atchison,ks--mo,41144,668,51719,752,22059,614
athens,al,43676,667,59290,736,21376,623
athens,oh,28082,775,73720,797,16483,769
athens,tn,33051,622,50036,618,18810,624
athens,tx,40230,753,51453,706,25838,773
athens-clarke county,ga,37087,858,70958,981,23663,819
athol,ma,42144,857,55497,1024,22118,770
atlanta,ga,62547,1161,82157,1265,40729,1073
atlanta,tx,34618,568,40833,536,29936,643
atlantic,ia,38415,633,48107,617,27250,640
atlantic city,nj,56665,1333,75279,1587,30578,1069
atmore,al,27202,461,40174,391,17552,579
atoka,tn,76753,1085,84423,1153,49757,1004
attica,in,40856,664,52198,679,25057,664
attica,ny,57250,710,70926,764,33984,689
aubrey,tx,81172,1255,83250,1241,71250,1286
auburn,al,38224,813,70215,913,22050,781
auburn,il,59669,823,67530,834,34202,808
auburn,in,44565,715,56042,748,29261,689
auburn,ne,54289,781,70272,858,29342,639
auburn,ny,44593,787,67512,928,28622,699
auburn--north auburn,ca,59190,1198,80703,1409,37158,1093
augusta,ks,47884,803,60208,891,30331,692
augusta,me,37596,747,58806,882,25316,694
augusta-richmond county,ga--sc,49576,875,65188,909,29638,847
aurora,mo,36602,628,36703,553,36344,700
aurora,ne,59668,781,69009,871,32625,637
au sable,mi,41631,573,48862,504,26731,644
austin,mn,46361,734,63714,758,24930,714
austin,tx,70971,1321,97404,1511,47845,1178
ava,mo,26531,555,33878,471,19229,573
avalon,ca,62986,1464,89417,2024,58438,1426
avenal,ca,34638,756,58487,734,24764,744
avon,ny,53569,872,78357,1104,27127,789
avondale--goodyear,az,66941,1223,80681,1262,49244,1182
avra valley,az,48333,605,51288,587,23260,641
aztec,nm,49067,692,66645,584,33929,737
bad axe,mi,38702,605,44912,619,18828,542
bainbridge,ga,28998,621,37007,686,21292,587
