city,state,median household income (dollars)_2017,monthly cost_2017,owner occupied income_2017,owner occupied cost_2017,renter occupied income_2017,renter occupied cost_2017
baker city,or,41288,662,51250,691,28384,635
bakersfield,ca,53276,1091,73715,1252,35312,972
bald knob,ar,28355,519,43229,515,22950,523
baldwin,wi,61339,996,73963,1149,39631,917
baldwin city,ks,60417,1206,80000,1409,26341,944
ballinger,tx,34750,551,43603,547,23614,590
baltimore,md,71935,1353,93699,1487,46027,1232
baltimore,oh,42773,969,55870,985,32470,952
bamberg,sc,42692,637,73438,648,25972,628
bandon,or,31114,795,48057,1034,18611,667
bangor,me,42200,860,68824,1042,26025,794
baraboo,wi,42447,819,64799,975,29268,737
barbourville,ky,26830,603,38350,529,16183,615
bardstown,ky,52168,781,60932,851,30064,665
bar harbor,me,45972,854,62803,1016,31750,838
barnesville,ga,26364,626,40489,641,19275,623
barnesville,oh,36362,541,48830,625,11770,491
barnstable town,ma,69865,1353,78803,1430,38844,1221
barnwell,sc,29776,620,42813,560,17790,649
barre--montpelier,vt,47615,986,71348,1179,28696,854
barron,wi,37490,782,52701,911,32772,596
barrow,ak,84107,967,85694,810,83438,1077
barstow,ca,41018,747,63341,764,25938,743
bartlesville,ok,48600,697,59061,711,31406,684
bartlett,tx,36292,611,43684,600,24417,619
basalt--el jebel,co,80817,1664,85548,1698,71667,1642
basehor,ks,73766,1328,83889,1435,47171,1022
bastrop,la,24384,510,33628,396,16047,561
bastrop,tx,55217,1019,58803,1132,38009,874
batavia,ny,43468,801,62551,867,31680,762
batesburg-leesville,sc,39400,645,54167,509,15938,701
batesville,ar,41101,694,56206,767,22926,616
batesville,in,53723,788,77587,978,26981,676
batesville,ms,43732,701,51250,623,38458,738
bath,ny,33961,599,53298,619,20486,593
baton rouge,la,56003,919,74487,959,33871,887
battle creek,mi,41808,719,53579,720,26275,718
battlement mesa,co,59552,835,68068,1036,57407,777
baxley,ga,31354,413,35538,372,22083,516
baxter springs,ks,38096,602,45560,579,29712,616
bayard,nm,32035,431,34485,352,25804,619
bay city,mi,41027,671,51411,708,22707,617
bay city,tx,45287,678,52305,579,39962,755
bayfield,co,59049,1175,60667,1265,42083,977
bay minette,al,31924,616,50500,700,22826,565
bealeton,va,72058,1346,94598,1555,43241,1144
beardstown,il,38868,593,52125,591,23326,598
beatrice,ne,43944,668,55608,706,33736,643
beaufort--port royal,sc,49604,1037,61565,1092,40424,1008
beaumont,tx,47045,775,61364,713,31414,814
beaver,ut,48056,667,51786,729,33300,639
beaver dam,ky,36646,549,44533,687,21727,480
beaver dam,wi,47777,836,60342,940,32662,773
becker,mn,79779,1156,91875,1215,61250,974
beckley,wv,40777,583,51197,515,22446,653
bedford,in,39482,658,47940,661,23149,650
bedford,pa,44625,694,56378,842,24211,638
bedford,va,42043,700,52404,640,24203,711
beebe,ar,48312,721,60316,578,26775,739
beecher,il,66725,1218,79833,1386,25972,768
beeville,tx,40462,720,52000,558,30587,863
belding,mi,40129,710,47106,758,27019,591
belfast,me,66635,794,81261,789,34609,799
belgrade,mt,61467,1098,71959,1230,34951,877
bellefontaine,oh,42906,763,59407,807,31489,745
bellefonte,pa,55664,921,68656,1128,29464,781
belle fourche,sd,41075,637,47123,625,20583,663
belle glade,fl,26081,624,45913,630,18809,622
belle plaine,mn,78594,1269,85586,1343,34423,746
bellevue,ia,51512,622,63259,636,31786,623
bellevue,oh,52088,685,63212,745,30417,645
bellingham,wa,52890,1083,76845,1301,31708,971
bellows falls,vt--nh,41234,849,59792,922,28727,812
bells,tn,40495,667,47464,639,27408,686
bellville,tx,44825,750,66582,697,27128,771
beloit,ks,43116,693,54607,791,28238,594
beloit,wi--il,45918,818,59582,892,28848,759
belton,sc,29957,534,41886,471,18086,594
belvidere,nj--pa,51672,1090,64775,1262,32993,886
belzoni,ms,25164,521,31541,515,13659,530
bemidji,mn,33085,695,49688,724,22039,683
bend,or,60685,1188,74816,1291,42410,1106
bennettsville,sc,32514,545,38408,494,20436,572
bennington,vt,41216,903,54800,1005,28279,847
benson,az,30409,539,37673,438,17721,651
benson,mn,40810,598,59214,586,26467,628
benson,nc,32238,657,52644,704,24417,593
benton,il,36694,633,45472,590,27300,653
benton,ky,42266,661,54537,665,25625,658
benton,la,47008,940,62904,999,27375,751
benton city,wa,51467,805,56694,831,32625,786
benton harbor--st. joseph--fair plain,mi,44585,773,62816,869,24125,712
berea,ky,43903,705,61824,815,35348,678
berlin,nh,41461,738,55047,796,21509,704
berlin,wi,44228,759,52660,856,27778,629
berne,in,44155,607,65167,692,18074,493
berrien springs,mi,38812,692,57882,716,22917,686
berryville,ar,37652,614,43261,658,21978,583
berryville,va,58792,1151,97417,1538,21676,964
bethany,mo,32091,521,49643,503,21463,527
bethel,ak,84938,1386,100464,1243,74792,1430
bethel,oh,48175,690,56298,781,28226,621
bicknell,in,39226,576,46104,557,24311,588
big bear city,ca,46237,1090,52870,1203,37516,997
big lake,tx,59904,613,76513,577,53107,772
big pine key,fl,65741,1284,73798,1208,53647,1399
big rapids,mi,31769,647,60282,728,18245,613
big spring,tx,47394,726,54414,539,32266,850
big stone gap,va,37936,603,53024,474,20179,653
billings,mt,55249,923,68765,1069,34149,819
binghamton,ny--pa,46895,785,64672,860,24302,734
birch bay,wa,63789,1080,70091,1192,44928,973
birmingham,al,53611,944,70879,1023,31191,874
bisbee,az,35304,663,45060,573,15100,725
biscoe,nc,36917,594,47333,564,21528,688
bishop,ca,48793,886,65335,852,33178,921
bishop,tx,44083,654,67903,548,33971,688
bishopville,sc,21492,626,47583,574,10735,643
bismarck,nd,61018,851,80644,916,37195,819
blackfoot,id,46696,660,56895,700,25362,631
black river falls,wi,45215,737,67661,923,31915,649
blacksburg,va,45403,949,76573,1000,26767,924
blackshear,ga,31921,574,50980,535,16447,612
blackstone,va,38091,873,64500,1053,27599,754
blackwell,ok,40654,498,44071,442,29702,710
blair,ne,44629,833,63273,1024,24725,693
blairsville,pa,41429,714,46532,769,28531,650
blakely,ga,22667,608,37917,565,17411,619
blanchard,ok,63087,921,83250,1114,30815,669
blanchester,oh,39858,732,61648,715,24000,735
blanding,ut,57350,666,67813,792,28516,607
blissfield,mi,44960,745,49258,775,35625,730
bloomer,wi,41462,752,60297,888,26875,576
bloomfield,in,35504,518,50439,565,23100,463
bloomfield,nm,51791,705,60647,623,39500,769
bloomington,in,40103,864,69886,855,22665,868
bloomington--normal,il,61318,952,86874,1126,33101,820
bloomsburg--berwick,pa,42675,773,58139,832,26974,738
blountstown,fl,25445,473,27168,490,14917,452
blue earth,mn,45549,590,51429,605,35197,553
bluefield,wv--va,38951,563,49592,500,23269,626
bluffton,in,40646,598,51006,635,26612,558
bluffton,oh,65972,702,82132,769,25652,609
blythe,ca--az,38370,757,50496,890,24861,705
blytheville,ar,36427,638,44357,627,25350,642
boardman,or,50795,766,58452,815,44732,732
boerne,tx,62923,1165,84826,1312,37098,1115
bogalusa,la,25180,527,31957,456,17692,558
boiling springs,nc,55500,806,76632,912,29966,515
boise city,id,58688,1008,74490,1110,35586,899
bolivar,mo,39082,669,52417,720,25754,657
bolivar,oh,59375,753,73882,824,36964,729
bolivar,tn,34891,707,51302,754,27652,684
bonadelle ranchos-madera ranchos,ca,82762,1526,84070,1490,52045,1718
bonham,tx,36979,659,42100,559,26156,725
bonifay,fl,27240,558,45208,447,13295,587
bonita springs,fl,63817,1165,74346,1140,46106,1194
bonneauville,pa,64267,1082,76406,1165,27349,763
bonners ferry,id,31582,633,41190,658,20677,614
boone,ia,49992,744,63846,838,32787,652
boone,nc,23614,837,76500,932,12446,814
booneville,ar,29926,580,35731,573,25313,584
booneville,ms,22020,518,41875,519,14892,488
boonville,in,41546,699,50000,761,23735,657
boonville,mo,36496,658,49800,716,27704,627
borger,tx,44052,621,57096,585,21843,717
boscobel,wi,37614,598,51594,649,22903,541
boston,ma--nh--ri,81081,1603,108913,1894,46185,1344
boulder,co,67785,1452,105658,1559,39914,1405
boulder city,nv,55746,854,61929,673,45000,981
bowie,tx,37695,775,57000,636,32117,827
bowling green,ky,44433,780,67496,950,29109,728
bowling green,mo,35786,675,40526,717,33256,627
bowling green,oh,33625,731,69769,998,20550,684
box elder,sd,50128,954,59355,870,41579,969
boyne city,mi,49811,789,61125,900,27434,675
bozeman,mt,50804,1043,79683,1316,34148,950
bradford,pa--ny,39632,620,52539,641,21612,616
brady,tx,37200,563,56993,482,18523,719
braidwood--coal city--wilmington,il,61610,1068,75144,1180,40694,890
brainerd,mn,41305,805,55605,860,28209,770
brandon,sd,80041,1124,93074,1263,38722,842
branson,mo,41180,809,50839,832,31089,801
brattleboro,vt--nh,38516,921,66938,1270,24915,837
brawley,ca,43493,870,63006,981,25191,822
brazoria,tx,52701,737,59306,745,35313,712
breaux bridge,la,42724,549,51436,476,27147,775
breckenridge,co,77051,1506,97905,1691,65880,1355
breckenridge,tx,41775,577,47808,572,24564,578
breese,il,65448,916,68615,876,48036,1018
bremen,ga,40453,737,69893,929,24658,685
bremen,in,46518,659,66290,677,25387,648
bremerton,wa,65820,1232,82332,1366,43188,1104
brenham,tx,43447,798,59484,676,27003,841
brent,al,34091,628,44563,689,21227,615
brevard,nc,39987,638,51836,575,27763,676
brewton,al,33767,523,43487,467,19464,591
bridgeport,tx,45327,905,67604,896,29741,907
bridgeport--stamford,ct--ny,86551,1813,112828,2168,45034,1413
bridgeton,nj,37933,1088,57893,1181,26676,1040
bridgeville,de,41448,713,50338,859,24420,575
brinkley,ar,31121,460,46439,390,19545,489
bristol--bristol,tn--va,40543,638,50424,611,25204,651
bristow,ok,29096,530,40278,484,19798,590
broadway,va,44973,785,59728,932,29911,693
brockport,ny,47995,857,67050,959,25400,764
brockway,pa,43704,593,52650,583,29135,641
brodhead,wi,42260,775,60845,930,27456,699
broken bow,ne,46786,639,65662,740,30895,596
broken bow,ok,27204,415,41542,335,23288,549
brookfield,mo,29556,512,38988,474,20052,541
brookhaven,ms,28135,635,36786,582,19186,693
brookings,or,36565,833,45367,666,30760,890
brookings,sd,48439,768,79504,1001,26924,699
brooklyn,mi,65357,1036,75734,1102,25089,656
brookshire,tx,36079,785,46633,615,33539,882
brookville,pa,46534,628,63966,649,23787,604
brownfield,tx,39838,589,45783,482,32717,751
browning,mt,15914,288,16715,162,14702,402
browns mills--fort dix,nj,64735,1408,77621,1312,54290,1588
brownstown,in,39301,727,58728,705,26000,763
brownsville,tn,33012,648,48182,832,21662,604
brownsville,tx,35310,661,46082,637,20110,682
brownwood,tx,38499,668,48918,606,28879,722
brunswick,ga,38131,779,54661,768,25840,780
brunswick,me,53338,963,70555,1119,27979,799
brunswick,md--va,83886,1488,100094,1654,39483,1123
brush,co,50301,793,58421,789,30368,791
bryan,oh,36250,668,48079,656,28125,684
buckeye,az,51968,1014,54873,997,44375,1033
buckhannon,wv,35132,623,52311,547,21314,660
buckhead (bryan county),ga,116280,1960,119063,1840,93750,2219
buckner,mo,50985,848,55964,906,43750,785
bucyrus,oh,37885,620,45817,568,28185,644
buena vista,co,41051,840,53608,912,25242,762
buena vista,va,33372,732,42176,712,24945,742
buffalo,mn,67624,1101,80119,1201,40060,961
buffalo,mo,29704,610,40580,571,20456,630
buffalo,ny,51644,835,70260,921,28082,769
buffalo,wy,50490,902,56121,906,40208,893
buhl,id,37986,658,40451,652,33194,674
buies creek,nc,30408,805,44821,827,18931,790
bullhead city,az--nv,39771,728,46200,647,30706,784
bunkie,la,25125,463,27466,397,21481,689
buras,la,32403,371,31709,294,49038,843
burgaw,nc,36500,803,45417,857,21761,751
burgettstown,pa,50250,680,59357,591,32258,744
burkburnett,tx,49408,783,55222,722,44835,876
burley,id,41305,681,49583,737,30489,630
burlington,co,41047,650,51029,606,28472,775
burlington,ia--il,43385,758,54019,759,27145,756
burlington,ks,49813,641,56458,712,29940,615
burlington,nc,43636,825,58277,878,28685,786
burlington,vt,60569,1307,87753,1482,38393,1194
burlington,wi,65736,1136,82849,1316,40320,965
burnet,tx,61797,864,66519,857,46974,866
burney,ca,42608,730,46190,637,31417,800
burns,or,37280,538,39024,480,31339,567
burnt store marina,fl,81563,1204,86379,1210,52650,1174
bushnell,fl,31394,487,35952,394,27878,722
bushnell,il,41705,473,46779,535,29583,417
butler,in,48854,728,55000,709,40227,734
butler,mo,33512,629,44261,611,26147,662
butler,pa,51451,735,65567,781,25081,691
butner,nc,53826,996,69167,1109,37033,850
butte-silver bow,mt,37519,620,50643,632,19756,603
byron,il,68477,1056,83125,1191,35125,739
byron,mn,90694,1164,93438,1202,41548,790
cache,ok,56536,674,62750,667,30515,674
cactus,tx,46814,530,48571,336,37123,549
cadillac,mi,37405,712,43098,725,25474,691
cadiz,ky,31853,573,42375,585,20283,549
cadiz,oh,45824,623,51250,619,43065,630
cairo,ga,29473,700,45651,591,21416,790
cairo,il,24331,378,32278,408,16481,270
calais,me,32517,742,42169,864,16382,589
caldwell,oh,38696,562,52474,455,24018,629
caldwell,tx,43915,780,53227,706,33362,792
caledonia,mn,45737,656,50818,653,35882,631
calhoun,ga,40963,747,56278,800,28709,704
california,mo,37361,628,54313,642,25688,576
california city,ca,45161,854,61810,809,26747,918
calipatria,ca,35486,762,43802,795,21977,736
calistoga,ca,58533,1191,68839,1539,37337,1154
camano,wa,63431,1182,64914,1131,54297,1316
camano north,wa,77941,1349,84167,1237,76364,1517
camarillo,ca,94345,1947,110759,2032,68828,1862
cambria,ca,66202,1346,77422,1325,50430,1373
cambridge,md,42508,878,62500,997,26931,846
cambridge,mn,58338,1050,71604,1128,35248,855
cambridge,oh,32035,628,48109,654,19969,613
cambridge,wi,71161,1117,88702,1280,29815,867
cambridge city,in,35519,605,42396,592,22546,628
cambridge springs,pa,46875,680,61250,815,35357,628
camden,ar,24192,517,38207,470,16292,537
camden,me,51158,936,68072,1084,32699,765
camden,sc,37752,697,45060,693,23528,707
camden,tn,27090,523,37561,461,21512,600
camdenton,mo,33981,672,42083,665,26957,670
cameron,mo,45360,734,62641,753,31121,734
cameron,tx,33830,573,46071,508,18517,602
camilla,ga,36490,633,38955,794,19657,584
campbellsville,ky,27062,541,44986,460,18973,577
camp verde,az,31765,701,31109,612,32739,756
canadian,tx,67712,747,71210,676,41042,771
canby,or,66576,1208,81843,1364,46850,1001
cannon falls,mn,55869,909,68487,1022,33672,851
cañon city,co,43491,761,50701,760,26128,760
canton,il,40880,630,53145,670,21936,586
canton,ms,40889,761,47098,666,29965,771
canton,ny,53177,928,78973,965,26250,904
canton,oh,48745,768,62583,838,28028,714
canton,sd,46633,831,69063,955,29803,615
canton,tx,44375,729,50988,682,25833,863
canyon,tx,46015,891,82973,1086,26609,784
canyon lake,tx,53357,937,65625,851,43058,1013
cape coral,fl,50603,950,57030,880,37682,1024
cape girardeau,mo--il,44889,781,62675,823,27373,740
captain cook,hi,66563,1146,82727,1125,37162,1182
carbondale,co,67062,1481,77262,1606,61941,1363
carbondale,il,37802,700,63400,731,18730,682
carey,oh,43245,621,57269,656,30848,583
caribou,me,32647,704,52361,766,19663,651
carlinville,il,44355,669,60987,673,19744,643
carlisle,ia,64423,922,77753,1041,31223,649
carlsbad,nm,63715,806,69324,728,45077,891
carlton,or,66638,1307,73529,1381,47500,1175
carlyle,il,53869,764,60185,763,30486,768
carmel valley village,ca,75705,1710,110078,1961,46813,1626
carmi,il,40128,549,46518,536,27704,572
caro,mi,31676,602,37391,547,19830,638
carroll,ia,43750,622,68527,710,23056,576
carrollton,ga,42220,824,63289,925,26340,777
carrollton,ky,47540,573,52169,556,21702,580
carrollton,mo,31393,579,48875,601,18874,560
carrollton,oh,47639,704,66125,764,20000,610
carson city,nv,49299,928,59698,987,37097,890
cartersville,ga,54277,913,65152,979,37025,873
carthage,il,46196,610,53811,645,25850,531
carthage,ms,34954,638,60625,521,26278,665
carthage,mo,38918,720,48656,662,25425,744
carthage,tn,36211,578,52853,705,19602,473
carthage,tx,42193,608,53077,579,26332,673
caruthersville,mo,26358,519,43125,513,17002,525
casa grande,az,46470,848,56336,822,31223,870
casey,il,39444,623,48438,593,25547,670
cashmere,wa,46143,761,61050,876,27448,725
casper,wy,57456,877,71261,920,40130,847
cassville,mo,33266,586,37742,544,19830,686
castle dale,ut,51638,611,64489,598,34519,627
castle rock,wa,40521,746,45795,822,26795,702
castroville,tx,47188,858,48585,833,30195,949
catskill,ny,40022,895,57273,1096,17051,820
cazenovia,ny,58523,1096,79375,1287,23393,881
cedar city,ut,44232,794,62383,941,25028,703
cedaredge,co,38641,756,42895,691,29306,891
cedar rapids,ia,60239,899,74537,1043,31516,725
cedar springs,mi,44563,809,52688,905,28625,698
cedartown,ga,37432,681,45109,730,26339,674
cedarville,oh,44432,685,59667,835,24010,599
celina,oh,43989,679,54846,724,28673,656
center,tx,28976,502,46125,523,12883,473
centerville,ia,29962,562,38000,592,17488,532
central city,ne,49107,566,55625,570,26219,565
central city--greenville,ky,30816,511,45882,498,18553,517
centralia,il,34560,586,46453,565,19694,614
centralia,mo,40573,630,64688,704,16058,575
centralia,wa,44460,893,59938,952,31931,856
centre,al,38153,527,46528,533,19467,551
centreville,md,89219,1289,107096,1575,42689,976
century,fl--al,30000,592,35119,502,23875,647
chadron,ne,44583,696,67363,861,30679,663
chaffee,mo,41204,638,51218,696,29519,561
chambersburg,pa,55665,885,69133,965,37500,846
champaign,il,43675,913,74667,1021,23740,860
chandler,ok,43333,616,52250,613,26938,621
chanute,ks,36632,573,50190,558,24398,581
chaparral,nm,23338,520,25313,455,16338,605
chardon,oh,64486,913,76806,1099,27111,722
chariton,ia,43617,612,51667,568,40912,695
charles city,ia,40436,609,52708,660,19178,552
charleston,il,29676,669,60657,683,15103,645
charleston,ms,19002,433,21607,450,16190,390
charleston,mo,27153,606,38800,559,21554,685
charleston,wv,47590,677,59146,645,28040,705
charleston--north charleston,sc,58550,1137,75344,1213,38873,1065
charlestown,in,41520,752,55404,729,24988,757
charlestown,nh,43790,776,49333,822,31500,760
charlestown,ri,65170,1149,74539,1205,28900,1014
charles town--ranson,wv,64523,1215,85430,1377,33709,972
charlevoix,mi,43310,735,58100,826,28375,635
charlotte,mi,48420,781,60951,821,31088,719
charlotte,nc--sc,64665,1137,84758,1258,41427,1025
charlottesville,va,60006,1181,87326,1264,43706,1156
chase city,va,24911,484,33913,494,16176,480
chatfield,mn,62543,911,72202,1107,30457,684
chattahoochee,fl,26339,537,41591,463,23507,594
chattanooga,tn--ga,48682,825,63873,870,30050,788
cheboygan,mi,36199,515,45720,537,19099,500
checotah,ok,34063,589,48750,537,21324,619
chelan,wa,56250,855,66898,1091,49331,782
chelsea,mi,71938,1266,90625,1408,45156,1015
cheney,wa,34350,897,80665,1125,22500,819
cheraw,sc,29868,582,47736,618,12003,543
cherokee,ia,44056,536,52279,505,32689,542
cherokee village,ar,32591,572,36422,519,26188,693
cherryville,nc,41941,710,50615,763,28255,687
chesapeake beach,md,101640,1846,115821,1968,64567,1562
chesnee,sc,32295,571,43571,562,17604,588
chester,il,38000,536,46907,497,29535,574
chester,ny,83719,1641,92235,1791,37778,1352
chester,sc,25214,510,37228,415,15679,592
chestertown,md,51300,913,70000,956,30964,890
chetek,wi,47188,745,52617,779,33203,684
cheyenne,wy,57905,972,71746,1044,38311,896
chicago,il--in,65478,1250,85466,1465,39373,1056
chickasha,ok,40484,622,55579,534,28304,673
chico,ca,47611,1059,78034,1243,29677,982
childress,tx,34907,672,33288,521,37339,746
chillicothe,mo,38148,592,48256,563,26182,614
chillicothe,oh,39552,724,55122,730,26612,721
chilton,wi,48265,766,74297,952,19261,579
chino valley,az,44881,856,48520,862,35646,838
chipley,fl,32909,648,40018,565,26313,719
chisholm,mn,39681,558,49073,552,21591,499
chittenango,ny,72880,1002,82218,1109,32406,683
chowchilla,ca,40536,941,51842,929,30967,946
christopher,il,34738,564,44360,482,20288,662
church point,la,32043,379,36953,277,24551,574
churchville,ny,61165,926,72100,953,35903,841
cincinnati,oh--ky--in,59690,968,80078,1135,32352,793
circleville,oh,41428,779,51968,818,28623,766
cisco,tx,30771,504,22266,445,36507,594
